Var1	Freq	Fast	Duplication	Intron1loss	Intron2loss	HardCodingCodon187	HardCodingCodon28	LossofSer	LossofHis	LossofAsp
Salicornia_brachiata	0.794755	0	0	0	0	0	1	0	0	0
Spinacia_oleracea	0.795271	0	0	0	0	0	1	0	0	0
Premna_microphylla	0.796032	0	0	0	0	1	1	0	0	0
Lindenbergia_philippensis	0.796036	0	0	0	0	1	1	0	0	0
Eugenia_uniflora	0.799888	0	0	0	0	0	1	0	0	0
Corymbia_gummifera	0.799892	0	0	0	0	0	1	0	0	0
Angophora_floribunda	0.799892	0	0	0	0	0	1	0	0	0
Allosyncarpia_ternata	0.799892	0	0	0	0	0	1	0	0	0
Rhazya_stricta	0.800038	0	0	0	0	1	1	0	0	0
Stephania_japonica	0.801487	0	0	0	0	0	0	0	0	0
Scutellaria_baicalensis	0.801548	0	0	0	0	1	1	0	0	0
Ajuga_reptans	0.801568	0	0	0	0	1	1	0	0	0
Trillium_tschonoskii	0.802249	0	0	0	0	0	0	0	0	0
Ranunculus_macranthus	0.803579	0	0	0	0	0	0	0	0	0
Stockwellia_quadrifida	0.805331	0	0	0	0	0	1	0	0	0
Eucalyptus_aromaphloia	0.805331	0	0	0	0	0	1	0	0	0
Catharanthus_roseus	0.805553	0	0	0	0	1	1	0	0	0
Ostrya_rehderiana	0.805942	0	0	0	0	0	1	0	0	0
Bupleurum_falcatum	0.806125	0	0	0	0	1	1	0	0	0
Anthriscus_cerefolium	0.806129	0	0	0	0	1	1	0	0	0
Daucus_carota	0.806129	0	0	0	0	1	1	0	0	0
Rosmarinus_officinalis	0.807111	0	0	0	0	1	1	0	0	0
Tectona_grandis	0.807161	0	0	0	0	1	1	0	0	0
Lysimachia_coreana	0.807193	0	0	0	0	1	1	0	0	0
Acorus_calamus	0.807297	0	0	0	0	0	0	0	0	0
Camellia_sinensis	0.80918	0	0	0	0	1	1	0	0	0
Metapanax_delavayi	0.811507	0	0	0	0	1	1	0	0	0
